Date,Open,High,Low,Close,Volume,cnbc_data,fortune_data,reuters_data,wsj_data
20180302,2658.889893,2696.25,2647.320068,2691.25,3882450000,0.033122861,-0.07875098,0.002983218,-0.068384328
20180305,2681.060059,2728.090088,2675.75,2720.939941,3710810000,0.04832,0.074090909,0.051298121,0.02047561
20180306,2730.179932,2732.080078,2711.26001,2728.120117,3370690000,0.053185769,0.034690164,0.030498075,-0.043751079
20180307,2710.179932,2730.600098,2701.73999,2726.800049,3393270000,0.03809036,0.075020313,-0.000693722,-0.024239189
20180308,2732.75,2740.449951,2722.649902,2738.969971,3212320000,0.057443462,0.004526667,0.047543594,-0.057467763
20180309,2752.909912,2786.570068,2751.540039,2786.570068,3364100000,0.045256276,-0.034106818,0.03344799,0.035880645
20180312,2790.540039,2796.97998,2779.26001,2783.02002,3185020000,0.072729195,-0.037471875,-0.008418494,-0.017155319
20180313,2792.310059,2801.899902,2758.679932,2765.310059,3301650000,0.054818735,0.083,-0.026863235,-0.002897842
20180314,2774.060059,2777.110107,2744.379883,2749.47998,3391360000,0.0474775,-0.077773333,-0.036306336,-0.031202439
20180315,2754.27002,2763.030029,2741.469971,2747.330078,3500330000,0.065106889,-0.045446667,-0.042773415,-0.051182979
20180316,2750.570068,2761.850098,2749.969971,2752.01001,5372340000,0.030551751,-0.02173,-0.015946243,0.020987943
20180319,2741.379883,2741.379883,2694.590088,2712.919922,3302130000,0.0798279,-0.0386725,-0.014312882,-0.016514815
20180320,2715.050049,2724.219971,2710.050049,2716.939941,3261030000,0.08522141,0.001592857,-0.016844925,-0.052221893
20180321,2714.98999,2739.139893,2709.790039,2711.929932,3415510000,0.06425811,0.049284127,-0.018323043,-0.045264375
20180322,2691.360107,2695.679932,2641.590088,2643.689941,3739800000,0.060100993,-0.030430769,-0.043550367,-0.020695783
20180323,2646.709961,2657.669922,2585.889893,2588.26001,3815080000,0.015203591,-0.009567568,-0.045607728,0.019836774
20180326,2619.350098,2661.360107,2601.810059,2658.550049,3511100000,0.02118574,-0.112989655,0.030495815,-0.047522609
20180327,2667.570068,2674.780029,2596.120117,2612.620117,3706350000,0.053966538,0.035959524,0.031183467,-0.006528387
20180328,2611.300049,2632.649902,2593.060059,2605,3864500000,0.055945943,-0.120938776,0.045931737,0.016098387
20180329,2614.409912,2659.070068,2609.719971,2640.870117,3565990000,0.065013586,-0.047356757,0.050176264,0.003064968
20180402,2633.449951,2638.300049,2553.800049,2581.879883,3598520000,0.028017308,0.03455641,0.047198203,0.023072941
20180403,2592.169922,2619.139893,2575.48999,2614.449951,3392810000,0.056346131,-0.04456,0.028014586,-0.012418571
20180404,2584.040039,2649.860107,2573.610107,2644.689941,3350340000,0.016752934,-0.052515,0.031618051,-0.077757463
20180405,2657.360107,2672.080078,2649.580078,2662.840088,3178970000,0.034874699,-0.080088462,0.013687734,-0.004758
20180406,2645.820068,2656.879883,2586.27002,2604.469971,3299700000,0.021511947,0.004081395,0.006264374,-0.080159722
20180409,2617.179932,2653.550049,2610.790039,2613.159912,3062960000,0.032764433,-0.00112,0.023910071,-0.024863014
20180410,2638.409912,2665.449951,2635.780029,2656.870117,3543930000,0.042041011,0.000555172,0.031956504,-0.013858025
20180411,2643.889893,2661.429932,2639.25,2642.189941,3020760000,0.047674967,-0.039543636,-0.001699087,-0.015332759
20180412,2653.830078,2674.719971,2653.830078,2663.98999,3021320000,0.061349478,-0.086436842,0.025573973,-0.02613224
20180413,2676.899902,2680.26001,2645.050049,2656.300049,2960910000,0.082086181,-0.028030435,0.037412845,-0.029006667
20180416,2670.100098,2686.48999,2665.159912,2677.840088,3019700000,0.075105357,-0.004526316,0.01588502,-0.026013889
20180417,2692.73999,2713.340088,2692.050049,2706.389893,3234360000,0.06622799,0.084352727,0.016187513,0.019844242
20180418,2710.110107,2717.48999,2703.629883,2708.639893,3383410000,0.047399238,0.070194118,0.049515549,-0.007391954
20180419,2701.159912,2702.840088,2681.899902,2693.129883,3349370000,0.056476162,-0.00655,0.050484825,-0.026427326
20180420,2692.560059,2693.939941,2660.610107,2670.139893,3388590000,0.042093426,0.032173913,0.037364297,-0.070095263
20180423,2675.399902,2682.860107,2657.98999,2670.290039,3017480000,0.066126722,-0.017921429,-0.020598214,0.039492174
20180424,2680.800049,2683.550049,2617.320068,2634.560059,3706740000,-0.016578313,-0.17,0.132029117,0.074978947
20180425,2634.919922,2645.300049,2612.669922,2639.399902,3499440000,0.060067099,0.021663265,0.070354903,0.03561407
20180426,2651.649902,2676.47998,2647.159912,2666.939941,3665720000,0.088093406,-0.085292857,0.100751439,0.015611588
20180427,2675.469971,2677.350098,2659.01001,2669.909912,3219030000,0.086267656,0.029011364,0.107366484,0.011026374
20180430,2682.51001,2682.870117,2648.040039,2648.050049,3734530000,0.064056432,0.021328125,0.066076115,-0.009474265
20180501,2642.959961,2655.27002,2625.409912,2654.800049,3559850000,0.084246129,-0.013290566,0.068956196,-0.044863804
20180502,2654.23999,2660.870117,2631.699951,2635.669922,4010770000,0.088057253,0.043338983,0.053705906,0.000607975
20180503,2628.080078,2637.139893,2594.620117,2629.72998,3851470000,0.066460654,0.063147727,0.06807181,0.017187879
20180504,2621.449951,2670.929932,2615.320068,2663.419922,3327220000,0.07377687,-0.021276596,0.062084761,-0.001986207
20180507,2680.340088,2683.350098,2664.699951,2672.629883,3237960000,0.078872438,-0.033330769,0.074142058,-0.010827358
20180508,2670.26001,2676.340088,2655.199951,2671.919922,3717570000,0.081977191,0.069266129,0.042805445,0.020221324
20180509,2678.120117,2701.27002,2674.139893,2697.790039,3909500000,0.08563652,0.004357971,0.053811706,0.026071676
20180510,2705.02002,2726.110107,2704.540039,2723.070068,3333050000,0.088070536,-0.011928571,0.035412269,-0.016561628
20180511,2722.699951,2732.860107,2717.449951,2727.719971,2862700000,0.071780898,-0.028981818,0.038391579,-0.037979851
20180514,2738.469971,2742.100098,2725.469971,2730.129883,2972660000,0.081710732,0.001247727,0.000582385,0.028039316
20180515,2718.590088,2718.590088,2701.909912,2711.449951,3290680000,0.075155304,-0.013452174,0.001953041,-0.022710615
20180516,2712.620117,2727.76001,2712.169922,2722.459961,3202670000,0.082823008,-0.018933333,0.018274248,0.030182209
20180517,2719.709961,2731.959961,2711.360107,2720.129883,3475400000,0.073129199,-0.097719048,-0.002199871,-0.021902186
20180518,2717.350098,2719.5,2709.179932,2712.969971,3368690000,0.070247344,-0.028344186,0.021115241,-0.004144571
20180521,2735.389893,2739.189941,2725.699951,2733.01001,3019890000,0.080438506,0.078447619,-0.009075689,0.029764463
20180522,2738.340088,2742.23999,2721.879883,2724.439941,3366310000,0.069255181,0.005617544,-0.014442363,-0.023471875
20180523,2713.97998,2733.330078,2709.540039,2733.290039,3326290000,0.067046038,-0.074791935,0.006909671,0.025745856
20180524,2730.939941,2731.969971,2707.379883,2727.76001,3256030000,0.040594665,-0.05929661,0.001650814,0.02849899
20180525,2723.600098,2727.360107,2714.98999,2721.330078,2995260000,0.047433279,0.01155,-0.025190309,0.03029023
20180529,2705.110107,2710.669922,2676.810059,2689.860107,3736890000,0.070442385,-0.025721429,-0.035568443,-0.052795588
20180530,2702.429932,2729.340088,2702.429932,2724.01001,3561050000,0.038118966,-0.076964516,-0.063177411,-0.017367273
20180531,2720.97998,2722.5,2700.679932,2705.27002,4235370000,0.057370669,-0.064137931,-0.025489242,-0.018636364
20180601,2718.699951,2736.929932,2718.699951,2734.620117,3684130000,-0.06115,0.3612,-0.004489474,0
